"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Lifetime: The number of people who saw your Page post. (Unique Users)","Lifetime: The number of people who saw your Page post in news feed or ticker, or on your Page's timeline. (Unique Users)","Lifetime: The number of people who saw your Page post in an ad or sponsored story. (Unique Users)","Lifetime: The number of impressions of your Page post. (Total Count)","Lifetime: The number of impressions of your post in News Feed or ticker or on your Page's Wall. (Total Count)","Lifetime: The number of impressions of your Page post in an Ad or Sponsored Story. (Total Count)","Lifetime: The number of people who clicked anywhere in your posts. (Unique Users)","Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users) - comment","Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users) - like","Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users) - share","Lifetime: The number of stories created about your Page post, by action type. (Total Count) - comment","Lifetime: The number of stories created about your Page post, by action type. (Total Count) - like","Lifetime: The number of stories created about your Page post, by action type. (Total Count) - share","Lifetime: The number of people who clicked anywhere in your post. Clicks generating stories are included in &quot;Other Clicks.&quot; (Unique Users)","Lifetime: The number of clicks anywhere in your post. Clicks generating stories are included in &quot;Other Clicks.&quot; (Total Count)","Lifetime: The number of people who clicked anywhere in your post, by type. Clicks generating stories are included in &quot;Other Clicks.&quot; (Unique Users) - link clicks","Lifetime: The number of people who clicked anywhere in your post, by type. Clicks generating stories are included in &quot;Other Clicks.&quot; (Unique Users) - other clicks","Lifetime: The number of people who clicked anywhere in your post, by type. Clicks generating stories are included in &quot;Other Clicks.&quot; (Unique Users) - photo view","Lifetime: The number of clicks anywhere in your post, by type. Clicks generating stories are included in &quot;Other Clicks.&quot; (Total Count) - link clicks","Lifetime: The number of clicks anywhere in your post, by type. Clicks generating stories are included in &quot;Other Clicks.&quot; (Total Count) - other clicks","Lifetime: The number of clicks anywhere in your post, by type. Clicks generating stories are included in &quot;Other Clicks.&quot; (Total Count) - photo view","Lifetime: The number of people who have given negative feedback to your post. (Unique Users)","Lifetime: The number of times people have given negative feedback to your post. (Total Count)","Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users) - xbutton_clicks","Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count) - xbutton_clicks","Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users)","Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users)","Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users)"
123997660997434_597388210325041,https://www.facebook.com/media/set/?set=a.597383793658816.1073741840.123997660997434&amp;type=1,"trick or treat!! we took over the Lilium for an evening of costumes + fun.  the board dressed up as a team of waldos, can you find all of us?  #tappyhalloween #whereswaldo #photobombing",Photo,,,"11/05/2013 05:41:25 AM",2209,2209,0,4242,4242,0,756,11,25,,18,54,,749,12727,1,106,711,1,175,12551,0,0,,,849,300,0,0,110
123997660997434_597105677019961,https://www.facebook.com/tapny/posts/597105677019961,"Check this out if you're looking for more opportunities to give back to your community!",Link,,,"11/04/2013 05:17:36 PM",346,346,0,965,965,0,29,,,,,,,29,34,16,13,,18,16,,0,0,,,846,258,0,0,25
123997660997434_595706963826499,https://www.facebook.com/photo.php?fbid=595706943826501&amp;set=a.399211906809340.93465.123997660997434&amp;type=1,"One of the costume winners from our Halloween bash last night!",Photo,,,"11/01/2013 09:45:54 PM",538,538,0,1236,1236,0,99,3,7,1,3,7,1,95,208,,41,84,,57,151,0,0,,,789,323,0,0,64
123997660997434_595147807215748,https://www.facebook.com/photo.php?fbid=595147783882417&amp;set=a.399211906809340.93465.123997660997434&amp;type=1,"WaldoS stop by TAP Halloween bash!! More awesome costumes to come... #tappyhalloween",Photo,,,"10/31/2013 04:44:21 PM",533,533,0,974,974,0,118,,8,,,9,,115,225,,19,109,,22,203,0,0,,,474,205,0,0,52
123997660997434_594695907260938,https://www.facebook.com/media/set/?set=a.594691227261406.1073741839.123997660997434&amp;type=1,"this month marked a month of intellectual stimulation at our annual Entrepreneur Challenge &amp; Competition where we handed out $11,000 in cash prizes; coming out to support Linsanity: the Movie with a private screening and a Q&amp;A with producer, Brian Yang; a night of networking and fun at our September TAPpy Hour; and, competing in our sports leagues - Vball + Flag Football both claimed 2nd place!!",Photo,,,"10/30/2013 07:58:27 PM",1439,1439,0,2541,2541,0,386,,20,,,22,,376,4105,,63,356,,114,3991,0,0,,,620,264,0,0,67
123997660997434_594672437263285,https://www.facebook.com/tapny/posts/594672437263285,"Time is running out to buy tickets for our Halloween bash tomorrow! Come out to show off your costume and join us for a drink at the beautiful W Union Square. Don't miss out! https://taphalloweenbash.eventbrite.com/",Link,,,"10/30/2013 06:35:22 PM",165,165,0,421,421,0,6,,,,,,,6,9,3,3,,3,6,,0,0,,,421,165,0,0,6
123997660997434_594075487322980,https://www.facebook.com/tapny/posts/594075487322980,"Don't mess with Taiwan's army! http://www.dramafever.com/news/taiwans-new-army-uniforms-are-downright-scary/",Link,,,"10/29/2013 05:51:01 PM",1878,1878,0,5382,5382,0,179,11,38,8,20,39,9,156,215,119,52,,129,86,,1,3,1,3,1318,429,0,0,58
123997660997434_593290464068149,https://www.facebook.com/photo.php?fbid=593290447401484&amp;set=a.399211906809340.93465.123997660997434&amp;type=1,"Receiving our Community Leadership awards from NAAAP-New York and posing w/ honoree Brian Yang - go watch Linsanity!! #linsanitymovie",Photo,,,"10/28/2013 07:49:38 AM",576,576,0,1201,1201,0,135,,26,,,26,,118,198,,44,99,,56,142,0,0,,,786,316,0,0,60
123997660997434_593011384096057,https://www.facebook.com/tapny/posts/593011384096057,"Didn't get your fill of celebrating Halloween this weekend? Come out to TAP-NY's Halloween Bash this Thursday, 10/31! 

Get your tickets here to guarantee entry =)  https://taphalloweenbash.eventbrite.com/",Link,,,"10/27/2013 07:26:40 PM",333,333,0,895,895,0,19,,1,,,1,,18,28,10,12,,12,16,,0,0,,,806,265,0,0,17
123997660997434_591875627542966,https://www.facebook.com/tapny/posts/591875627542966,"Spotlight on Taipei 101!",Photo,,,"10/25/2013 02:40:22 PM",185,185,0,302,302,0,6,,3,,,3,,4,4,,4,,,4,,0,0,,,204,106,0,0,5
123997660997434_590729334324262,https://www.facebook.com/tapny/posts/590729334324262,"Congratulations to Jacqui Wu and Charles Pan for being recognized!",Photo,,,"10/23/2013 04:23:59 PM",215,215,0,388,388,0,39,,12,1,,13,1,29,41,3,23,8,4,29,8,0,0,,,290,138,0,0,31
123997660997434_589818194415376,https://www.facebook.com/tapny/posts/589818194415376,"Searching for the perfect fitting t-shirt? Give some love to Threadmason, one of the finalists from ECC 2013, and support their Kickstarter campaign! http://www.kickstarter.com/projects/1399375262/threadmasontm-the-perfect-fitting-t-shirt?ref=search",Video,,,"10/21/2013 05:45:15 PM",237,237,0,687,687,0,9,,1,,,1,,8,10,4,5,,4,6,,0,0,,,608,176,0,0,7
123997660997434_588716791192183,https://www.facebook.com/photo.php?fbid=588716774525518&amp;set=a.399211906809340.93465.123997660997434&amp;type=1,"Perfect day for hiking!! At breakneck ridge!!",Photo,,,"10/19/2013 09:44:22 AM",354,354,0,749,749,0,64,,3,,,3,,63,103,,18,59,,22,81,0,0,,,537,222,0,0,38
123997660997434_587807857949743,https://www.facebook.com/tapny/posts/587807857949743,"Looking for an excuse to dress up? Join NAAAP-NY at the Moon Festival Honoree Gala on 10/25, honoring 5 influential APIA New Yorkers, including the Producers &amp; Director of the Linsanity movie!

Proceeds from the event will go towards aiding APIA undergraduate scholars.

Buy tickets here! https://naaapnymoonfestivalgala.eventbrite.com/",Share,,,"10/17/2013 03:22:41 PM",264,264,0,639,639,0,10,,1,,,1,,9,11,3,7,,3,8,,0,0,,,541,204,0,0,8
123997660997434_587266338003895,https://www.facebook.com/photo.php?fbid=587266324670563&amp;set=a.399211906809340.93465.123997660997434&amp;type=1,"TAP October dinner series!",Photo,,,"10/16/2013 07:51:39 PM",429,429,0,816,816,0,80,,6,,,6,,76,163,,30,72,,36,127,0,0,,,515,217,0,0,46
123997660997434_587195198011009,https://www.facebook.com/tapny/posts/587195198011009,"Last chance to sign up for New York Cares this Saturday! We will be volunteering to help rebuild a school that was directly impacted by Hurricane Sandy. Both the school building and almost all the homes of the students were destroyed during the hurricane. So please come out to help! Sign up here: https://nycaresfall2013tap.eventbrite.com",Link,,,"10/16/2013 05:35:40 PM",300,300,0,821,821,0,13,,1,,,1,,13,18,4,11,,5,13,,0,0,,,737,245,0,0,11
